Description,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment
LUNCH BAG RED RETROSPOT,1,1303,27868.8,1,5,5,155,Inactive product or newly launched
LUNCH BAG RED SPOTTY,329,1,290.0,5,1,2,512,Inactive product or newly launched
LUNCH BAG RED VINTAGE DOILY,1,119,2432.55,1,4,4,144,Inactive product or newly launched
LUNCH BAG SPACEBOY DESIGN ,1,993,15820.15,1,5,5,155,Inactive product or newly launched
LUNCH BAG SUKI  DESIGN ,228,148,3334.7,5,4,5,545,MVP
LUNCH BAG SUKI DESIGN ,1,915,15332.9,1,5,5,155,Inactive product or newly launched
LUNCH BAG VINTAGE DOILEY ,120,4,115.5,4,1,2,412,Inactive product or newly launched
LUNCH BAG VINTAGE DOILY ,1,549,10347.66,1,5,5,155,Inactive product or newly launched
LUNCH BAG VINTAGE LEAF DESIGN,1,604,9950.35,1,5,5,155,Inactive product or newly launched
LUNCH BAG WOODLAND,1,831,14497.51,1,5,5,155,Inactive product or newly launched
LUNCH BOX I LOVE LONDON,1,519,19316.17,1,5,5,155,Inactive product or newly launched
LUNCH BOX WITH CUTLERY FAIRY CAKES ,215,24,153.0,5,2,2,522,Inactive product or newly launched
LUNCH BOX WITH CUTLERY RETROSPOT ,2,326,6705.04,1,5,5,155,Inactive product or newly launched
LUSH GREENS RIBBONS,317,13,67.5,5,2,1,521,Inactive product or newly launched
M/COLOUR POM-POM CURTAIN,302,1,8.5,5,1,1,511,Inactive product or newly launched
MA CAMPAGNE CUTLERY BOX,152,81,1997.55,5,4,4,544,MVP
MADRAS NOTEBOOK LARGE ,150,15,367.5,5,2,3,523,Inactive product or newly launched
MADRAS NOTEBOOK MEDIUM,4,73,699.45,2,4,3,243,Potential products
MAGAZINE RACK GEBRA ASSORTED ,11,17,246.5,3,2,2,322,Inactive product or newly launched
MAGIC DRAWING SLATE BAKE A CAKE ,1,78,605.52,1,4,3,143,Inactive product or newly launched
MAGIC DRAWING SLATE BUNNIES ,7,110,630.1800000000001,3,4,3,343,Selling consistently
MAGIC DRAWING SLATE CIRCUS PARADE  ,1,164,1347.66,1,5,4,154,Inactive product or newly launched
MAGIC DRAWING SLATE DINOSAUR,5,137,762.72,3,4,3,343,Selling consistently
MAGIC DRAWING SLATE DOLLY GIRL ,1,183,1430.7,1,5,4,154,Inactive product or newly launched
MAGIC DRAWING SLATE GO TO THE FAIR ,1,61,328.92,1,3,2,132,Inactive product or newly launched
MAGIC DRAWING SLATE LEAP FROG ,1,68,360.06,1,3,3,133,Inactive product or newly launched
MAGIC DRAWING SLATE PURDEY,1,145,1780.92,1,4,4,144,Inactive product or newly launched
MAGIC DRAWING SLATE SPACEBOY ,1,207,1735.5,1,5,4,154,Inactive product or newly launched
MAGIC GARDEN FELT GARLAND ,16,35,531.78,3,3,3,333,Potential products
MAGIC SHEEP WOOL GROWING FROM PAPER,1,95,1190.0,1,4,4,144,Inactive product or newly launched
MAGIC TREE -PAPER FLOWERS,1,77,706.3499999999999,1,4,3,143,Inactive product or newly launched
MAGNETS PACK OF 4 CHILDHOOD MEMORY,8,87,1309.9,3,4,4,344,Selling consistently
MAGNETS PACK OF 4 HOME SWEET HOME,2,145,711.87,1,4,3,143,Inactive product or newly launched
MAGNETS PACK OF 4 RETRO PHOTO,4,107,568.76,2,4,3,243,Potential products
MAGNETS PACK OF 4 SWALLOWS,1,231,1528.29,1,5,4,154,Inactive product or newly launched
MAGNETS PACK OF 4 VINTAGE COLLAGE,1,145,1005.72,1,4,4,144,Inactive product or newly launched
MAGNETS PACK OF 4 VINTAGE LABELS ,3,85,569.36,2,4,3,243,Potential products
MAKE YOUR OWN FLOWERPOWER CARD KIT,1,149,2018.8100000000002,1,4,4,144,Inactive product or newly launched
MAKE YOUR OWN MONSOON CARD KIT,1,148,1892.14,1,4,4,144,Inactive product or newly launched
MAKE YOUR OWN PLAYTIME CARD KIT,1,88,1236.24,1,4,4,144,Inactive product or newly launched
MAN FLU METAL SIGN,1,153,2356.38,1,4,4,144,Inactive product or newly launched
MARIE ANTOIENETT TRINKET BOX GOLD,234,1,12.5,5,1,1,511,Inactive product or newly launched
MARIE ANTOINETTE TRINKET BOX GOLD,44,17,1167.6,4,2,4,424,Inactive product or newly launched
MARIE ANTOINETTE TRINKET BOX SILVER,44,22,1099.0,4,2,4,424,Inactive product or newly launched
MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,212,2,7.85,5,1,1,511,Inactive product or newly launched
MEASURING TAPE BABUSHKA BLUE,1,46,948.7500000000001,1,3,4,134,Inactive product or newly launched
MEASURING TAPE BABUSHKA PINK,3,68,1094.8000000000002,2,3,4,234,Potential products
MEASURING TAPE BABUSHKA RED,24,38,639.0,4,3,3,433,Potential products
MEDINA STAMPED METAL STOOL,68,18,1268.3500000000001,4,2,4,424,Inactive product or newly launched
MEDIUM CERAMIC TOP STORAGE JAR,1,198,81416.73000000001,1,5,5,155,Inactive product or newly launched
MEDIUM CHINESE STYLE SCISSOR,22,24,289.98,3,2,2,322,Inactive product or newly launched
MEDIUM MEDINA STAMPED METAL BOWL ,4,48,876.1500000000001,2,3,3,233,Potential products
MEDIUM PARLOUR FRAME ,24,2,84.1,4,1,2,412,Inactive product or newly launched
MEDIUM PARLOUR PICTURE FRAME ,6,34,550.0,3,3,3,333,Potential products
MEDIUM PINK BUDDHA HEAD ,1,14,135.70000000000002,1,2,2,122,Inactive product or newly launched
MEDIUM WHITE/PINK ROSE ART FLOWER,104,11,174.31,4,2,2,422,Inactive product or newly launched
MEMO BOARD COTTAGE DESIGN,1,264,6286.39,1,5,5,155,Inactive product or newly launched
MEMO BOARD RETROSPOT  DESIGN,1,348,12411.02,1,5,5,155,Inactive product or newly launched
METAL 4 HOOK HANGER FRENCH CHATEAU,2,340,6267.39,1,5,5,155,Inactive product or newly launched
METAL BASE FOR CANDLES,197,2,4.62,5,1,1,511,Inactive product or newly launched
METAL DECORATION NAUGHTY CHILDREN ,2,104,1284.86,1,4,4,144,Inactive product or newly launched
METAL HERB GERDEN CONTAINER,89,5,139.68,4,1,2,412,Inactive product or newly launched
METAL MERRY CHRISTMAS WREATH,4,77,1154.25,2,4,4,244,Potential products
METAL RABBIT LADDER EASTER ,51,16,62.9,4,2,1,421,Inactive product or newly launched
METAL SIGN CUPCAKE SINGLE HOOK,3,50,270.85,2,3,2,232,Potential products
METAL SIGN DROP YOUR PANTS,1,173,3186.78,1,5,5,155,Inactive product or newly launched
METAL SIGN EMPIRE TEA,1,185,1706.8100000000002,1,5,4,154,Inactive product or newly launched
METAL SIGN HER DINNER IS SERVED ,3,72,3802.5,2,4,5,245,Potential products
METAL SIGN HIS DINNER IS SERVED,1,90,493.39000000000004,1,4,3,143,Inactive product or newly launched
METAL SIGN NEIGHBOURHOOD WITCH ,29,114,1778.4,4,4,4,444,MVP
METAL SIGN TAKE IT OR LEAVE IT ,1,355,10638.45,1,5,5,155,Inactive product or newly launched
"METAL SIGN,CUPCAKE SINGLE HOOK",3,96,584.3,2,4,3,243,Potential products
METAL TUBE CHIME ON BAMBOO,249,13,522.5600000000001,5,2,3,523,Inactive product or newly launched
METALIC LEAVES BAG CHARMS,4,15,145.76999999999998,2,2,2,222,Inactive product or newly launched
MIDNIGHT BLUE COPPER FLOWER NECKLAC,179,2,17.85,5,1,1,511,Inactive product or newly launched
MIDNIGHT BLUE CRYSTAL DROP EARRINGS,15,1,2.95,3,1,1,311,Inactive product or newly launched
MIDNIGHT BLUE DROP CRYSTAL NECKLACE,60,2,23.6,4,1,1,411,Inactive product or newly launched
MIDNIGHT BLUE GLASS/SILVER BRACELET,87,5,62.64999999999999,4,1,1,411,Inactive product or newly launched
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,77,5,45.0,4,1,1,411,Inactive product or newly launched
MIDNIGHT BLUE VINTAGE EARRINGS,29,3,60.0,4,1,1,411,Inactive product or newly launched
MIDNIGHT GLAMOUR SCARF KNITTING KIT,3,52,385.52,2,3,3,233,Potential products
MILK BOTTLE WITH GLASS STOPPER ,292,15,194.60000000000002,5,2,2,522,Inactive product or newly launched
MILK MAIDS MUG ,1,24,336.59999999999997,1,2,3,123,Inactive product or newly launched
MILK PAN BLUE POLKADOT,1,31,302.5,1,3,2,132,Inactive product or newly launched
MILK PAN PINK POLKADOT,218,17,146.25,5,2,2,522,Inactive product or newly launched
MILK PAN RED RETROSPOT,1,91,996.13,1,4,4,144,Inactive product or newly launched
MINI  ZINC GARDEN DECORATIONS ,132,24,297.89,4,2,2,422,Inactive product or newly launched
MINI CAKE STAND  HANGING STRAWBERY,1,147,1661.78,1,4,4,144,Inactive product or newly launched
MINI CAKE STAND T-LIGHT HOLDER,2,66,591.84,1,3,3,133,Inactive product or newly launched
MINI CAKE STAND WITH HANGING CAKES,3,153,1764.8999999999999,2,4,4,244,Potential products
MINI FUNKY DESIGN TAPES,1,63,929.45,1,3,3,133,Inactive product or newly launched
MINI HIGHLIGHTER PENS,295,4,100.79999999999998,5,1,2,512,Inactive product or newly launched
MINI JIGSAW BAKE A CAKE ,1,39,515.77,1,3,3,133,Inactive product or newly launched
MINI JIGSAW BUNNIES,1,47,390.69,1,3,3,133,Inactive product or newly launched
MINI JIGSAW CIRCUS PARADE ,2,65,915.78,1,3,3,133,Inactive product or newly launched
MINI JIGSAW DINOSAUR ,1,51,279.51,1,3,2,132,Inactive product or newly launched
MINI JIGSAW DOLLY GIRL,1,87,1049.1499999999999,1,4,4,144,Inactive product or newly launched
MINI JIGSAW GO TO THE FAIR,5,26,151.07999999999998,3,2,2,322,Inactive product or newly launched
MINI JIGSAW LEAP FROG,4,21,180.62,2,2,2,222,Inactive product or newly launched
MINI JIGSAW PURDEY,1,59,767.41,1,3,3,133,Inactive product or newly launched
MINI JIGSAW SPACEBOY,1,125,1627.04,1,4,4,144,Inactive product or newly launched
MINI LADLE LOVE HEART PINK,3,45,106.56,2,3,2,232,Potential products
MINI LADLE LOVE HEART RED ,4,55,252.24,2,3,2,232,Potential products
MINI LIGHTS WOODLAND MUSHROOMS,1,177,6118.59,1,5,5,155,Inactive product or newly launched
MINI PAINT SET VINTAGE ,1,325,16039.240000000002,1,5,5,155,Inactive product or newly launched
MINI PAINTED GARDEN DECORATION ,2,70,702.4699999999999,1,4,3,143,Inactive product or newly launched
MINI PLAYING CARDS BUFFALO BILL ,1,109,1128.18,1,4,4,144,Inactive product or newly launched
MINI PLAYING CARDS DOLLY GIRL ,2,114,1013.0400000000001,1,4,4,144,Inactive product or newly launched
MINI PLAYING CARDS FUN FAIR ,2,55,433.2,1,3,3,133,Inactive product or newly launched
MINI PLAYING CARDS GYMKHANA,1,100,901.74,1,4,3,143,Inactive product or newly launched
MINI PLAYING CARDS SPACEBOY ,1,132,1106.28,1,4,4,144,Inactive product or newly launched
MINI WOODEN HAPPY BIRTHDAY GARLAND,4,140,2726.31,2,4,5,245,Potential products
MINIATURE ANTIQUE ROSE HOOK IVORY,1,237,1711.55,1,5,4,154,Inactive product or newly launched
MINITURE ANTIQUE ROSE HOOK IVORY,200,4,40.8,5,1,1,511,Inactive product or newly launched
MINT DINER CLOCK,97,1,17.0,4,1,1,411,Inactive product or newly launched
MINT DINER WALL CLOCK,3,154,3034.5,2,4,5,245,Potential products
MINT GREEN ROSE TOWEL,7,20,325.5,3,2,2,322,Inactive product or newly launched
MINT KITCHEN SCALES,1,304,6574.29,1,5,5,155,Inactive product or newly launched
MIRROR CORNICE,5,55,1223.25,3,3,4,334,Potential products
MIRROR LOVE BIRD T-LIGHT HOLDER,60,10,225.0,4,2,2,422,Inactive product or newly launched
MIRROR MOSAIC CANDLE PLATE,10,12,120.07,3,2,2,322,Inactive product or newly launched
MIRROR MOSAIC GOBLET CANDLE HOLDER,47,10,566.5,4,2,3,423,Inactive product or newly launched
MIRROR MOSAIC HURRICANE LAMP ,8,12,584.9,3,2,3,323,Inactive product or newly launched
MIRROR MOSAIC T-LIGHT HOLDER ,11,18,715.05,3,2,3,323,Inactive product or newly launched
MIRROR MOSAIC T-LIGHT HOLDER ROUND,47,15,694.29,4,2,3,423,Inactive product or newly launched
MIRROR MOSAIC VOTIVE HOLDER,3,24,631.62,2,2,3,223,Inactive product or newly launched
MIRRORED DISCO BALL ,3,129,3393.4,2,4,5,245,Potential products
MIRRORED DOVE WALL DECORATION,4,19,214.13000000000002,2,2,2,222,Inactive product or newly launched
MIRRORED WALL ART FOXY,2,8,88.2,1,2,2,122,Inactive product or newly launched
MIRRORED WALL ART GENTS,4,35,159.51,2,3,2,232,Potential products
MIRRORED WALL ART LADIES,5,30,128.4,3,3,2,332,Potential products
MIRRORED WALL ART PHOTO FRAMES,2,11,102.0,1,2,2,122,Inactive product or newly launched
MIRRORED WALL ART POPPIES,1,32,274.65,1,3,2,132,Inactive product or newly launched
MIRRORED WALL ART SKULLS,9,40,400.0,3,3,3,333,Potential products
MIRRORED WALL ART SNOWFLAKES,2,45,380.25,1,3,3,133,Inactive product or newly launched
MIRRORED WALL ART SPLODGES,5,13,142.5,3,2,2,322,Inactive product or newly launched
MIRRORED WALL ART STARS,1,44,360.0,1,3,3,133,Inactive product or newly launched
MIRRORED WALL ART TABLE LAMP,11,25,75.73,3,2,2,322,Inactive product or newly launched
MISELTOE HEART WREATH ,66,5,312.8,4,1,2,412,Inactive product or newly launched
MISELTOE HEART WREATH CREAM,131,1,996.0000000000001,4,1,4,414,Inactive product or newly launched
MISELTOE HEART WREATH WHITE,66,4,304.5,4,1,2,412,Inactive product or newly launched
MISTLETOE HEART WREATH CREAM,1,104,2332.13,1,4,4,144,Inactive product or newly launched
MISTLETOE HEART WREATH GREEN,5,162,3435.6200000000003,3,5,5,355,Selling consistently
MIXED NUTS LIGHT GREEN BOWL,201,27,205.28,5,3,2,532,Potential products
MOBILE VINTAGE HEARTS ,10,58,750.3000000000001,3,3,3,333,Potential products
MOCK LOBSTER FRIDGE MAGNET,2,22,116.62,1,2,2,122,Inactive product or newly launched
MODERN FLORAL STATIONERY SET,1,180,1734.6,1,5,4,154,Inactive product or newly launched
MODERN VINTAGE COTTON SHOPPING BAG,269,8,29.7,5,2,1,521,Inactive product or newly launched
MONEY BOX BISCUITS DESIGN,3,45,270.0,2,3,2,232,Potential products
MONEY BOX CONFECTIONERY DESIGN,4,22,140.25,2,2,2,222,Inactive product or newly launched
MONEY BOX FIRST ADE DESIGN,147,13,62.5,5,2,1,521,Inactive product or newly launched
MONEY BOX FIRST AID DESIGN,3,10,34.32,2,2,1,221,Inactive product or newly launched
MONEY BOX HOUSEKEEPING DESIGN,1,46,212.88,1,3,2,132,Inactive product or newly launched
MONEY BOX KINGS CHOICE DESIGN,1,64,336.89,1,3,3,133,Inactive product or newly launched
MONEY BOX POCKET MONEY DESIGN,1,54,348.69,1,3,3,133,Inactive product or newly launched
MONSTERS STENCIL CRAFT,1,190,1710.42,1,5,4,154,Inactive product or newly launched
MONTANA DIAMOND CLUSTER EARRINGS,216,1,15.299999999999999,5,1,1,511,Inactive product or newly launched
MOODY BOY  DOOR HANGER ,1,108,542.36,1,4,3,143,Inactive product or newly launched
MOODY GIRL DOOR HANGER ,1,151,684.9599999999999,1,4,3,143,Inactive product or newly launched
MOP PENDANT SHELL NECKLACE,47,3,44.55,4,1,1,411,Inactive product or newly launched
MORE BUTTER METAL SIGN ,4,110,705.3100000000001,2,4,3,243,Potential products
MOROCCAN BEATEN METAL DISH,1,5,139.29999999999998,1,1,2,112,Inactive product or newly launched
MOROCCAN BEATEN METAL DISH LARGE,23,7,140.25,3,2,2,322,Inactive product or newly launched
MOROCCAN BEATEN METAL MIRROR,116,8,143.3,4,2,2,422,Inactive product or newly launched
MOROCCAN TEA GLASS,88,95,2741.2,4,4,5,445,MVP
MOTHER'S KITCHEN SPOON REST ,15,59,690.71,3,3,3,333,Potential products
MOTORING TISSUE BOX,3,155,804.8100000000001,2,4,3,243,Potential products
MOUSE TOY WITH PINK T-SHIRT,4,122,1256.3,2,4,4,244,Potential products
MOUSEY LONG LEGS SOFT TOY,4,11,73.94999999999999,2,2,2,222,Inactive product or newly launched
MR ROBOT SOFT TOY,1,39,626.45,1,3,3,133,Inactive product or newly launched
MRS ROBOT SOFT TOY,4,28,428.85,2,3,3,233,Potential products
MULTI COLOUR SILVER T-LIGHT HOLDER,1,311,8259.25,1,5,5,155,Inactive product or newly launched
MULTI HEARTS  STICKERS,2,36,196.35,1,3,2,132,Inactive product or newly launched
MULTICOLOUR  CONFETTI IN TUBE,8,13,322.71,3,2,2,322,Inactive product or newly launched
MULTICOLOUR 3D BALLS GARLAND,7,51,532.9499999999999,3,3,3,333,Potential products
MULTICOLOUR EASTER RABBIT ,256,4,39.0,5,1,1,511,Inactive product or newly launched
MULTICOLOUR HONEYCOMB FAN,1,57,669.12,1,3,3,133,Inactive product or newly launched
MULTICOLOUR HONEYCOMB PAPER GARLAND,12,39,1272.8999999999999,3,3,4,334,Potential products
MULTICOLOUR POLKADOT PLATE,206,1,10.2,5,1,1,511,Inactive product or newly launched
MULTICOLOUR RABBIT EGG WARMER,35,25,194.14999999999998,4,2,2,422,Inactive product or newly launched
MULTICOLOUR SPRING FLOWER MUG,4,64,803.74,2,3,3,233,Potential products
MUM'S KITCHEN CLOCK,1,36,471.90000000000003,1,3,3,133,Inactive product or newly launched
MUMMY MOUSE RED GINGHAM RIBBON,257,1,5.45,5,1,1,511,Inactive product or newly launched
MURANO STYLE GLASS BRACELET BLACK,281,2,14.0,5,1,1,511,Inactive product or newly launched
MURANO STYLE GLASS BRACELET GOLD,6,3,24.5,3,1,1,311,Inactive product or newly launched
MURANO STYLE GLASS BRACELET RED,278,2,21.0,5,1,1,511,Inactive product or newly launched
MUSICAL ZINC HEART DECORATION ,1,117,943.64,1,4,4,144,Inactive product or newly launched
Manual,1,285,53419.93,1,5,5,155,Inactive product or newly launched
N0 SINGING METAL SIGN,1,35,2523.78,1,3,4,134,Inactive product or newly launched
NAMASTE SWAGAT INCENSE,4,51,632.34,2,3,3,233,Potential products
NATURAL HANGING QUILTED HEARTS ,9,69,1113.1299999999999,3,4,4,344,Selling consistently
NATURAL SLATE CHALKBOARD LARGE ,4,304,6813.400000000001,2,5,5,255,Potential products
NATURAL SLATE HEART CHALKBOARD ,1,972,24089.170000000002,1,5,5,155,Inactive product or newly launched
NATURAL SLATE RECTANGLE CHALKBOARD,2,311,4635.259999999999,1,5,5,155,Inactive product or newly launched
NECKLACE+BRACELET PINK BUTTERFLY,15,9,71.39999999999999,3,2,2,322,Inactive product or newly launched
NECKLACE+BRACELET SET BLUE BLOSSOM,26,3,20.4,4,1,1,411,Inactive product or newly launched
NECKLACE+BRACELET SET BLUE HIBISCUS,4,13,51.0,2,2,1,221,Inactive product or newly launched
NECKLACE+BRACELET SET FRUIT SALAD ,4,12,33.15,2,2,1,221,Inactive product or newly launched
NECKLACE+BRACELET SET PINK DAISY,289,1,2.55,5,1,1,511,Inactive product or newly launched
NEW BAROQUE B'FLY NECKLACE CRYSTAL,292,1,17.0,5,1,1,511,Inactive product or newly launched
NEW BAROQUE B'FLY NECKLACE GREEN,292,1,17.0,5,1,1,511,Inactive product or newly launched
NEW BAROQUE B'FLY NECKLACE PINK,244,1,8.5,5,1,1,511,Inactive product or newly launched
NEW BAROQUE B'FLY NECKLACE RED,77,2,34.0,4,1,1,411,Inactive product or newly launched
NEW BAROQUE BLACK BOXES,25,3,38.25,4,1,1,411,Inactive product or newly launched
NEW BAROQUE BLACK PHOTO ALBUM,161,11,109.65,5,2,2,522,Inactive product or newly launched
NEW BAROQUE JEWELLERY BOX ,1,20,367.6,1,2,3,123,Inactive product or newly launched
NEW BAROQUE LARGE NECKLACE BLK/WHIT,72,1,17.0,4,1,1,411,Inactive product or newly launched
NEW BAROQUE SMALL NECKLACE BLACK,179,2,25.5,5,1,1,511,Inactive product or newly launched
NEW ENGLAND MUG W GIFT BOX,369,2,5.1,5,1,1,511,Inactive product or newly launched
NEWSPAPER STAND,367,3,257.37,5,1,2,512,Inactive product or newly launched
NINJA RABBIT BLACK,4,21,148.29,2,2,2,222,Inactive product or newly launched
NINJA RABBIT PINK,19,18,119.95,3,2,2,322,Inactive product or newly launched
NO JUNK MAIL METAL SIGN,88,172,1019.59,4,5,4,454,MVP
NO SINGING METAL SIGN,68,387,9571.5,4,5,5,455,MVP
NOEL GARLAND PAINTED ZINC ,7,61,425.15999999999997,3,3,3,333,Potential products
NOEL WOODEN BLOCK LETTERS ,1,115,1924.94,1,4,4,144,Inactive product or newly launched
NOVELTY BISCUITS CAKE STAND 3 TIER,1,144,3445.4199999999996,1,4,5,145,Inactive product or newly launched
NUMBER TILE COTTAGE GARDEN 0 ,110,10,103.35,4,2,2,422,Inactive product or newly launched
NUMBER TILE COTTAGE GARDEN 1,10,19,134.54999999999998,3,2,2,322,Inactive product or newly launched
NUMBER TILE COTTAGE GARDEN 2,37,16,128.7,4,2,2,422,Inactive product or newly launched
NUMBER TILE COTTAGE GARDEN 3 ,44,10,101.39999999999999,4,2,2,422,Inactive product or newly launched
NUMBER TILE COTTAGE GARDEN 4,110,13,107.25,4,2,2,422,Inactive product or newly launched
NUMBER TILE COTTAGE GARDEN 5,44,13,91.64999999999999,4,2,2,422,Inactive product or newly launched
NUMBER TILE COTTAGE GARDEN 6,83,12,105.3,4,2,2,422,Inactive product or newly launched
NUMBER TILE COTTAGE GARDEN 7,81,14,99.45,4,2,2,422,Inactive product or newly launched
NUMBER TILE COTTAGE GARDEN 8,110,11,101.39999999999999,4,2,2,422,Inactive product or newly launched
NUMBER TILE COTTAGE GARDEN 9,135,13,109.2,5,2,2,522,Inactive product or newly launched
NUMBER TILE COTTAGE GARDEN No,101,11,109.2,4,2,2,422,Inactive product or newly launched
NUMBER TILE VINTAGE FONT 0,71,8,69.34,4,2,1,421,Inactive product or newly launched
NUMBER TILE VINTAGE FONT 1,25,11,84.94,4,2,2,422,Inactive product or newly launched
NUMBER TILE VINTAGE FONT 2,25,13,102.49,4,2,2,422,Inactive product or newly launched
NUMBER TILE VINTAGE FONT 3,4,20,110.28999999999999,2,2,2,222,Inactive product or newly launched
NUMBER TILE VINTAGE FONT 4,61,11,100.53999999999999,4,2,2,422,Inactive product or newly launched
NUMBER TILE VINTAGE FONT 5,10,16,94.69,3,2,2,322,Inactive product or newly launched
NUMBER TILE VINTAGE FONT 6 ,15,12,102.49,3,2,2,322,Inactive product or newly launched
NUMBER TILE VINTAGE FONT 7,8,13,92.74,3,2,2,322,Inactive product or newly launched
NUMBER TILE VINTAGE FONT 8,4,11,77.14,2,2,2,222,Inactive product or newly launched
NUMBER TILE VINTAGE FONT 9 ,15,8,71.28999999999999,3,2,2,322,Inactive product or newly launched
NUMBER TILE VINTAGE FONT No ,25,7,156.18,4,2,2,422,Inactive product or newly launched
NURSE'S BAG SOFT TOY,26,27,608.5999999999999,4,3,3,433,Potential products
"NURSERY A,B,C PAINTED LETTERS",1,67,859.2,1,3,3,133,Inactive product or newly launched
Next Day Carriage,2,79,1200.0,1,4,4,144,Inactive product or newly launched
OCEAN SCENT CANDLE IN JEWELLED BOX,36,75,1749.94,4,4,4,444,MVP
OCEAN STRIPE HAMMOCK ,312,1,15.9,5,1,1,511,Inactive product or newly launched
OFFICE MUG WARMER BLACK+SILVER ,3,95,2910.75,2,4,5,245,Potential products
OFFICE MUG WARMER CHOC+BLUE,1,95,1431.14,1,4,4,144,Inactive product or newly launched
OFFICE MUG WARMER PINK,1,56,1482.89,1,3,4,134,Inactive product or newly launched
OFFICE MUG WARMER POLKADOT,2,94,1443.1900000000003,1,4,4,144,Inactive product or newly launched
OLD DOC RUSSEL METAL SIGN,267,3,29.400000000000002,5,1,1,511,Inactive product or newly launched
OPEN CLOSED METAL SIGN,1,342,7296.51,1,5,5,155,Inactive product or newly launched
OPIUM SCENTED VOTIVE CANDLE,7,18,203.27999999999997,3,2,2,322,Inactive product or newly launched
ORANGE FELT VASE + FLOWERS,253,1,1.25,5,1,1,511,Inactive product or newly launched
ORANGE FLOWER MUG ,264,1,1.56,5,1,1,511,Inactive product or newly launched
ORANGE PENDANT TRIPLE SHELL NECKLAC,145,1,14.850000000000001,5,1,1,511,Inactive product or newly launched
ORANGE SCENTED SET/9 T-LIGHTS,67,67,471.45,4,3,3,433,Potential products
ORANGE TV TRAY TABLE ,191,24,908.15,5,2,3,523,Inactive product or newly launched
ORANGE VOTIVE CANDLE,7,25,257.03999999999996,3,2,2,322,Inactive product or newly launched
ORANGE/WHT/FUSCHIA STONES NECKLACE,228,1,29.700000000000003,5,1,1,511,Inactive product or newly launched
ORGANISER WOOD ANTIQUE WHITE ,242,76,1171.3,5,4,4,544,MVP
ORIENTAL RED CUSHION COVER ,32,4,60.45,4,1,1,411,Inactive product or newly launched
ORIGAMI JASMINE INCENSE/CANDLE SET,9,36,422.54999999999995,3,3,3,333,Potential products
ORIGAMI LAVENDER INCENSE/CANDL SET ,2,43,341.79999999999995,1,3,3,133,Inactive product or newly launched
ORIGAMI OPIUM INCENSE/CANDLE SET ,359,3,40.05,5,1,1,511,Inactive product or newly launched
ORIGAMI ROSE INCENSE IN TUBE,186,11,257.88,5,2,2,522,Inactive product or newly launched
ORIGAMI ROSE INCENSE/CANDLE SET ,2,44,362.95,1,3,3,133,Inactive product or newly launched
ORIGAMI SANDLEWOOD INCENSE+FLOWER,205,6,62.150000000000006,5,1,1,511,Inactive product or newly launched
ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,42,329.05,1,3,2,132,Inactive product or newly launched
ORIGAMI VANILLA INCENSE CONES,165,7,67.83,5,2,1,521,Inactive product or newly launched
ORIGAMI VANILLA INCENSE/CANDLE SET ,7,25,244.89999999999998,3,2,2,322,Inactive product or newly launched
OVAL  MINI PORTRAIT FRAME,1,48,611.85,1,3,3,133,Inactive product or newly launched
OVEN MITT APPLES DESIGN,1,173,1847.76,1,5,4,154,Inactive product or newly launched
OVERNIGHT BAG VINTAGE ROSE PAISLEY,3,86,1202.8500000000001,2,4,4,244,Potential products
OWL DOORSTOP,4,118,2339.19,2,4,4,244,Potential products
OYSTER TRINKET BOX,2,14,83.87,1,2,2,122,Inactive product or newly launched
PACK 20 DOLLY PEGS,193,4,174.5,5,1,2,512,Inactive product or newly launched
PACK 20 ENGLISH ROSE PAPER NAPKINS,281,55,388.69,5,3,3,533,Potential products
PACK 3 BOXES BIRD PANETTONE ,2,14,340.33,1,2,3,123,Inactive product or newly launched
PACK 3 BOXES BIRD PANNETONE ,11,140,3862.9999999999995,3,4,5,345,Selling consistently
PACK 3 BOXES CHRISTMAS PANETTONE,4,12,95.67,2,2,2,222,Inactive product or newly launched
PACK 3 BOXES CHRISTMAS PANNETONE,30,114,2867.1499999999996,4,4,5,445,MVP
PACK 3 FIRE ENGINE/CAR PATCHES,284,11,93.75,5,2,2,522,Inactive product or newly launched
PACK 3 IRON ON DOG PATCHES,4,26,239.96,2,2,2,222,Inactive product or newly launched
PACK 4 FLOWER/BUTTERFLY PATCHES,259,1,1.25,5,1,1,511,Inactive product or newly launched
PACK 6 HEART/ICE-CREAM PATCHES,29,34,337.42,4,3,3,433,Potential products
PACK OF 12 50'S CHRISTMAS TISSUES,1,151,1270.59,1,4,4,144,Inactive product or newly launched
PACK OF 12 BLUE PAISLEY TISSUES ,3,124,712.7299999999999,2,4,3,243,Potential products
PACK OF 12 CHRISTMAS FUN CARDS,52,13,138.65,4,2,2,422,Inactive product or newly launched
PACK OF 12 CIRCUS PARADE TISSUES ,2,69,617.8399999999999,1,4,3,143,Inactive product or newly launched
PACK OF 12 COLOURED PENCILS,1,202,3120.64,1,5,5,155,Inactive product or newly launched
PACK OF 12 DOILEY TISSUES,64,2,28.08,4,1,1,411,Inactive product or newly launched
